week_ending,origin,grade,tonnes
2025-08-24,Vietnam,5% broken,92
2025-08-31,Vietnam,5% broken,88
2025-09-07,Thailand,Hom Mali,41
2025-09-14,Vietnam,5% broken,95
2025-09-21,Pakistan,Basmati,22
2025-09-28,Vietnam,5% broken,90
2025-10-05,Vietnam,5% broken,97
2025-10-12,Thailand,Hom Mali,38
2025-10-19,Vietnam,5% broken,93
2025-10-26,Vietnam,5% broken,91
2025-11-02,Pakistan,Basmati,18
2025-11-09,Vietnam,5% broken,99
2025-11-16,Thailand,Hom Mali,44
2025-11-23,Vietnam,5% broken,96
2025-11-30,Vietnam,5% broken,101
2025-12-07,Vietnam,5% broken,88
2025-12-14,Thailand,Hom Mali,36
2025-12-21,Vietnam,5% broken,72
2025-12-28,Vietnam,5% broken,61
2026-01-04,Vietnam,5% broken,84
2026-01-11,Vietnam,5% broken,98
2026-01-18,Thailand,Hom Mali,40
2026-01-25,Vietnam,5% broken,102
2026-02-01,Pakistan,Basmati,20
2026-02-08,Vietnam,5% broken,94
2026-02-15,Vietnam,5% broken,97
2026-02-22,Thailand,Hom Mali,42
2026-03-01,Vietnam,5% broken,105
2026-03-08,Vietnam,5% broken,99
2026-03-15,Vietnam,5% broken,108
2026-03-22,Thailand,Hom Mali,39
2026-03-29,Pakistan,Basmati,19
2026-04-05,Vietnam,5% broken,96
2026-04-12,Vietnam,5% broken,101
2026-04-19,Thailand,Hom Mali,43
2026-04-26,Vietnam,5% broken,98
2026-05-03,Vietnam,5% broken,104
2026-05-10,Vietnam,5% broken,100
2026-05-17,Thailand,Hom Mali,41
2026-05-24,Vietnam,5% broken,107
2026-05-31,Pakistan,Basmati,21
2026-06-07,Vietnam,5% broken,103
2026-06-14,Vietnam,5% broken,109
2026-06-21,Thailand,Hom Mali,45
2026-06-28,Vietnam,5% broken,111
2026-07-05,Vietnam,5% broken,106
2026-07-12,Vietnam,5% broken,114
2026-07-19,Thailand,Hom Mali,40
2026-07-26,Vietnam,5% broken,112
2026-08-02,Vietnam,5% broken,108
2026-08-09,Thailand,Hom Mali,38
2026-08-16,Vietnam,5% broken,116
